wardId,lat,lng
33313,18.6718768,105.6999122
29473,18.7220639,105.652983
29985,18.7213247,105.7292491
29729,18.7253371,105.6823124
28194,20.5843364,105.9758633
12578,20.4657194,106.1286901
2850,20.2221805,106.0111203
26402,20.6466679,105.9288641
546,20.6488789,105.9053689
290,20.6631727,105.9993672
32802,20.6273234,106.0111203
1570,20.570835,105.9347384
2338,20.2676067,105.9582372
13346,20.3918446,106.1757379
32546,20.5826827,105.8701316
27426,20.6141298,105.9053689
26658,20.6290194,105.8701316
28450,20.53802,105.9758633
27170,20.5311052,105.8642593
2082,20.4395711,106.099291
12066,20.4508038,106.1639749
2594,20.2171535,105.9406128
26914,20.6218297,105.8231588
33058,20.5308533,105.9288641
27938,20.5534066,105.9027689
27682,20.5534078,105.8114175
3106,20.1605304,105.8642593
802,20.2741423,105.8877494
12834,20.3962954,106.1286901
12322,20.4590194,106.199266
1826,20.5885292,105.9766362
3618,20.1519559,105.9259271
13090,20.3720451,106.140451
24354,20.398946,106.2227968
3362,20.1878518,105.8818766
3874,20.1686806,105.9641124
23843,21.3963022,105.1990045
12579,20.8391132,105.3541013
12835,20.8759899,105.3950939
37667,21.3267574,105.3541013
23331,21.2395973,105.4251126
23587,21.4252786,105.2311827
2339,21.2472792,105.7057792
13091,20.8554944,105.3336087
37923,21.3075006,105.4360963
1827,20.7895416,105.3248269
21795,21.3499823,105.3541013
37411,21.3340031,105.4009508
21283,21.3141745,105.6119301
21539,21.2942931,105.5767493
2595,21.2957318,105.7145801
3876,15.1178003,108.8135603
16420,14.3203599,107.985777
16164,14.4273959,108.0124469
4900,14.7973289,108.9621091
15908,14.3541816,108.0183739
4132,15.1111759,108.7927679
5412,14.7087855,109.0676114
4388,14.8664283,108.9383377
3364,15.1453135,108.8195012
3365,21.1618668,106.5230542
6949,20.9540555,107.0362272
4901,21.1316717,106.5937658
8741,21.0091641,107.2843726
7461,21.0032442,107.1189141
8997,21.010612,107.3257545
5925,21.0091141,106.8355372
12837,21.0780819,106.493598
2085,20.9183393,106.8768415
7205,20.9571073,107.1189141
7973,20.9417785,107.1277751
3109,20.9407067,107.1661766
6181,20.9535518,106.7853922
5413,21.0601943,106.6438673
805,21.0551849,107.0405167
7717,20.7924584,107.1218678
2341,20.8538314,106.8296372
5157,21.0599621,106.6173415
11301,21.5148805,107.9887402
11557,21.5022207,107.9472579
11813,21.5483616,107.893932
8485,21.1308225,107.2784615
6693,20.8983995,106.7883416
2597,20.9998523,107.2075388
6437,20.9386407,106.8473377
2853,20.9828115,106.9240554
13093,21.0226383,106.7588494
293,21.0871667,106.8060388
4645,21.0010825,106.9712791
5669,21.1174331,106.7352584
1830,17.7539799,106.4214477
2086,17.7326825,106.4523662
16934,16.8046991,107.0716609
1062,17.4663168,106.6173415
1574,17.4421969,106.5642998
1318,17.497478,106.5878723
17190,16.8016839,107.1071
18726,16.6681282,107.1366365
2599,21.3922056,103.8911999
807,21.2881565,103.8796018
2855,21.2803725,103.9724141
19239,20.8549989,104.6208904
3111,20.7969425,104.652952
3623,20.8690193,104.6937674
2343,21.3282677,103.9230997
3367,20.8204468,104.7170954
7464,11.0140516,106.3817021
2856,11.3649762,106.0816536
7976,11.0590972,106.3581527
7720,11.0848812,106.287521
6696,11.2641882,106.1169299
24616,10.5297499,106.3640398
13864,10.7539414,105.9347384
4392,10.5547606,106.4052541
6440,11.2667398,106.1698563
552,11.3364912,106.1492721
24360,10.516389,106.4111425
2600,11.3145659,106.099291
6952,11.2661389,106.0816536
7208,11.0346486,106.3552092
5417,21.5053521,105.8260943
20777,22.1073899,105.8642593
5673,21.4981907,105.8701316
20521,22.1792783,105.8407722
1321,21.5666021,105.8818766
2089,21.6152567,105.8583873
1577,21.5838969,105.8231588
13865,21.4286391,105.8701316
2345,21.4695046,105.7468535
10793,21.6061792,105.802612
10537,21.5873077,105.7879371
5161,21.4540939,105.8466437
1833,21.5468385,105.8466437
14377,21.3622705,105.8671954
14121,21.4031847,105.8936224
11306,20.0636092,105.9112424
12842,19.430503,105.7468535
9514,19.7634091,105.7439194
10026,19.8112898,105.6940454
10282,19.8491771,105.7233814
41514,19.8028528,105.7879371
7978,19.398994,105.776198
12330,19.4925583,105.7644596
8746,19.8465194,105.7850022
11050,19.7165636,105.8466437
13354,19.7671311,105.6424003
11818,19.5840559,105.776198
10538,19.835453,105.8114175
9770,19.7723143,105.8378366
11562,19.773178,105.7755888
10794,19.7585916,105.8936224
12074,19.5146489,105.776198
12586,19.448541,105.7798664
13098,19.4115136,105.6999122
31531,21.7823841,105.2019295
31787,21.7273575,105.2311827
4395,22.8021967,104.9272044
1323,22.8697204,104.9505671
5163,21.824699,105.1843801
6187,21.7615161,105.1142011
4907,21.8382868,105.2253316
19756,10.2034911,106.3758145
20268,10.2384162,106.3287199
1836,10.085108,105.8172881
1580,10.0665624,105.8084823
10284,10.0120838,105.8701316
18476,9.6375461,106.4950707
11308,9.9444612,106.3640398
5164,10.258073,105.9406128
10796,9.9729414,106.3346061
11052,9.936006899999999,106.3169479
20012,10.2456261,106.3993658
20780,10.2673055,106.3993658
5420,10.2163296,105.9611748
20524,10.2623576,106.3375493
5676,10.2152272,105.9288641
5932,10.267248,105.9200531
4908,10.2436801,106.0111203
10540,9.9024377,106.3404925
18732,9.660563,106.5466221
15883,20.9936733,105.7204476
3851,21.0660371,105.348246
10763,21.1589264,105.348246
27403,20.9854963,105.9147298
13579,20.8959551,105.7732633
28939,20.8558808,105.9051542
16651,20.7205947,105.8818766
4107,21.2813067,105.3745964
31243,21.2513813,105.9053689
5387,20.97174,105.6993606
2315,20.7098179,105.9347384
13835,20.8137144,105.7850022
