so_thu_tu,ten_on_vi_hanh_chinh,tinh_thanh_pho,chu_thich,nam_thanh_lap,dan_so_nguoi,dien_tich_km,mat_o_dan_so_nguoi_km,so_vhc_cap_xa
262,Hóc Môn,Thành phố Hồ Chí Minh,,,542243.0,1092.0,4.966,12.0
263,Hội An,Quảng Nam,thành phố,,98599.0,636.0,1.55,13.0
264,Hòn Đất,Kiên Giang,,1978.0,156273.0,10396.0,150.0,14.0
265,Hớn Quản,Bình Phước,,,120749.0,66414.0,182.0,13.0
266,Hồng Bàng,Hải Phòng,quận,,177820.0,397.0,4.471,10.0
267,Hồng Dân,Bạc Liêu,,1947.0,111848.0,4240.0,264.0,9.0
268,Hồng Lĩnh,Hà Tĩnh,thị xã,,38411.0,590.0,651.0,6.0
269,Hồng Ngự,Đồng Tháp,thành phố,,100610.0,1218.0,826.0,7.0
270,Hồng Ngự,Đồng Tháp,,1930.0,120571.0,2096.0,575.0,10.0
271,Hưng Hà,Thái Bình,,1969.0,253272.0,2103.0,1.204,33.0
272,Hưng Nguyên,Nghệ An,,,124245.0,1592.0,780.0,15.0
273,Hưng Yên,Hưng Yên,thành phố,,116356.0,739.0,1.575,15.0
274,Hướng Hóa,Quảng Trị,,,90918.0,11528.0,79.0,21.0
275,Hương Khê,Hà Tĩnh,,1868.0,99307.0,12627.0,79.0,20.0
276,Hương Sơn,Hà Tĩnh,,,112426.0,10968.0,103.0,22.0
277,Hương Thủy,Huế,thị xã,,95299.0,4270.0,223.0,10.0
278,Hương Trà,Huế,thị xã,,72677.0,3923.0,185.0,9.0
279,Hữu Lũng,Lạng Sơn,,,121735.0,8076.0,151.0,23.0
280,Ia Grai,Gia Lai,,1996.0,105664.0,11196.0,94.0,13.0
281,Ia H'Drai,Kon Tum,,2015.0,10210.0,9802.0,10.0,3.0
282,Ia Pa,Gia Lai,,2002.0,56596.0,8686.0,65.0,9.0
283,Kbang,Gia Lai,,1984.0,65437.0,18409.0,36.0,13.0
284,Kế Sách,Sóc Trăng,,1906.0,149156.0,3528.0,423.0,13.0
285,Khánh Sơn,Khánh Hòa,,1951.0,25349.0,3385.0,75.0,8.0
286,Khánh Vĩnh,Khánh Hòa,,,39780.0,11672.0,34.0,14.0
287,Khoái Châu,Hưng Yên,,,188255.0,1310.0,1.437,20.0
288,Kiến An,Hải Phòng,quận,,118047.0,296.0,3.988,7.0
289,Kiên Hải,Kiên Giang,huyện đảo,1983.0,17588.0,246.0,715.0,4.0
290,Kiên Lương,Kiên Giang,,1999.0,79484.0,4733.0,168.0,8.0
291,Kiến Thụy,Hải Phòng,,1837.0,140417.0,1089.0,1.289,16.0
292,Kiến Tường,Long An,thị xã,,43674.0,2044.0,214.0,8.0
293,Kiến Xương,Thái Bình,,,216682.0,2020.0,1.073,29.0
294,Kim Bảng,Hà Nam,thị xã,,125634.0,1754.0,716.0,17.0
295,Kim Bôi,Hòa Bình,,1959.0,118767.0,5510.0,216.0,17.0
296,Kim Động,Hưng Yên,,,117734.0,1033.0,1.14,15.0
297,Kim Sơn,Ninh Bình,,1829.0,182942.0,2157.0,848.0,26.0
298,Kim Thành,Hải Dương,,,136150.0,1151.0,1.183,14.0
299,Kinh Môn,Hải Dương,thị xã,,203638.0,1653.0,1.232,22.0
300,Kon Plông,Kon Tum,,,26025.0,13712.0,19.0,9.0
301,Kon Rẫy,Kon Tum,,2002.0,28591.0,9139.0,31.0,7.0
302,Kon Tum,Kon Tum,thành phố,,168264.0,4329.0,389.0,21.0
303,Kông Chro,Gia Lai,,1988.0,52406.0,14397.0,36.0,14.0
304,Krông Ana,Đắk Lắk,,1981.0,79892.0,3561.0,224.0,8.0
305,Krông Bông,Đắk Lắk,,1981.0,92064.0,12575.0,73.0,13.0
